0:18:00:00,0:18:01:00,didyouhear
0:18:02:23,0:18:07:05,dinner
0:18:09:18,0:18:10:20,dontconcur
0:18:12:20,0:18:14:08,dontgothere
0:18:15:08,0:18:16:19,dontknow
0:18:18:03,0:18:20:02,dontwantdie
0:18:21:22,0:18:23:28,donuteater
0:18:25:26,0:18:27:26,doyousmell
0:18:30:08,0:18:32:05,evergetout
0:18:33:26,0:18:36:18,everseen
0:18:38:28,0:18:42:17,excellentteam
0:18:44:26,0:18:46:05,excuse
0:18:49:05,0:18:52:05,fascinating
0:18:54:28,0:18:57:04,fellowscientist
0:18:58:25,0:19:01:17,fine
0:19:03:02,0:19:03:22,freeman
0:19:05:15,0:19:08:23,freemanalive
0:19:11:16,0:19:14:26,fusionshunt
0:19:18:08,0:19:20:18,getoutalive
0:19:23:05,0:19:24:19,getoutofhere
0:19:28:00,0:19:30:17,goodpaper
0:19:32:07,0:19:34:22,goodtoseeyou
0:19:37:23,0:19:39:08,gottogetout
0:19:40:14,0:19:41:18,greetings
0:19:43:03,0:19:44:03,greetings2
0:19:46:22,0:19:51:14,headcrab
0:19:54:20,0:19:56:17,heal1
0:19:59:23,0:20:01:25,heal2
0:20:03:08,0:20:05:03,heal3
0:20:06:26,0:20:08:08,heal4
0:20:09:22,0:20:11:19,heal5
0:20:12:26,0:20:14:08,hearsomething
0:20:15:28,0:20:16:21,hello
0:20:18:14,0:20:19:06,hello2
0:20:22:00,0:20:25:14,hellofreeman
0:20:29:10,0:20:34:01,hellofromlab
0:20:36:17,0:20:37:12,hellothere
0:20:38:26,0:20:41:02,hideglasses
0:20:42:07,0:20:44:03,holdstill
0:20:46:09,0:20:50:01,hopenominal-throw
0:20:51:15,0:20:53:14,hopeyouknow
0:20:55:10,0:20:58:05,howinteresting
0:21:00:13,0:21:01:27,hungryyet
0:21:04:12,0:21:05:05,ibelieveso
0:21:08:07,0:21:09:14,idontthinkso
0:21:11:27,0:21:13:02,ihearsomething
0:21:15:28,0:21:16:25,illwait
0:21:19:03,0:21:20:13,illwaithere
0:21:22:07,0:21:25:11,importantspecies
0:21:26:17,0:21:29:20,improbable
0:21:32:04,0:21:33:00,imsure
